geo_name|st|White Alone|Black Alone|Total White and Black
Randolph County|IL|29318|3263|32581
Richland County|IL|15795|78|15873
Rock Island County|IL|120382|13289|133671
St. Clair County|IL|174458|82302|256760
Saline County|IL|23178|995|24173
Sangamon County|IL|165103|23335|188438
Schuyler County|IL|7205|243|7448
Scott County|IL|5279|9|5288
Shelby County|IL|22045|50|22095
Stark County|IL|5855|28|5883
Stephenson County|IL|41291|4275|45566
Tazewell County|IL|130225|1374|131599
Union County|IL|16880|156|17036
Vermilion County|IL|67323|10571|77894
Wabash County|IL|11576|77|11653
Warren County|IL|16165|303|16468
Washington County|IL|14376|101|14477
Wayne County|IL|16427|42|16469
White County|IL|14393|56|14449
Whiteside County|IL|53923|781|54704
Will County|IL|514664|75743|590407
Williamson County|IL|61542|2540|64082
Winnebago County|IL|228652|36108|264760
Woodford County|IL|37643|187|37830
Adams County|IN|33349|107|33456
Allen County|IN|281653|41618|323271
Bartholomew County|IN|68824|1420|70244
Benton County|IN|8489|42|8531
Blackford County|IN|12470|49|12519
Boone County|IN|53953|495|54448
Brown County|IN|14874|53|14927
Carroll County|IN|19500|48|19548
Cass County|IN|34385|578|34963
Clark County|IN|95961|7661|103622
Clay County|IN|26303|87|26390
Clinton County|IN|30232|142|30374
Crawford County|IN|10438|24|10462
Daviess County|IN|30077|172|30249
Dearborn County|IN|48780|300|49080
Decatur County|IN|25053|82|25135
DeKalb County|IN|40931|148|41079
Delaware County|IN|104872|8146|113018
Dubois County|IN|39839|122|39961
Elkhart County|IN|163792|11307|175099
Fayette County|IN|23532|322|23854
Floyd County|IN|67408|3873|71281
Fountain County|IN|16802|28|16830
Franklin County|IN|22703|37|22740
Fulton County|IN|19800|150|19950
Gibson County|IN|31986|597|32583
Grant County|IN|61811|4888|66699
Greene County|IN|32548|49|32597
Hamilton County|IN|242985|9603|252588
Hancock County|IN|66644|1452|68096
Harrison County|IN|38341|178|38519
Hendricks County|IN|131117|7084|138201
Henry County|IN|47351|1070|48421
Howard County|IN|73284|5680|78964
Huntington County|IN|36062|160|36222
Jackson County|IN|40044|282|40326
Jasper County|IN|32056|212|32268
Jay County|IN|20619|60|20679
Jefferson County|IN|30876|542|31418
Jennings County|IN|27611|216|27827
Johnson County|IN|131140|1578|132718
Knox County|IN|36475|1009|37484
Kosciusko County|IN|72188|572|72760
LaGrange County|IN|35874|117|35991
Lake County|IN|319412|128263|447675
LaPorte County|IN|93787|12001|105788
Lawrence County|IN|44905|186|45091
Madison County|IN|115452|10963|126415
Marion County|IN|566853|240975|807828
Marshall County|IN|44000|220|44220
Martin County|IN|10164|10|10174
Miami County|IN|33876|1673|35549
Monroe County|IN|121109|4491|125600
Montgomery County|IN|36309|327|36636
Morgan County|IN|67307|176|67483
Newton County|IN|13700|56|13756
Noble County|IN|43970|185|44155
Ohio County|IN|6012|22|6034
Orange County|IN|19245|170|19415
Owen County|IN|21129|65|21194
Parke County|IN|16671|397|17068
Perry County|IN|18557|471|19028
Pike County|IN|12610|39|12649
Porter County|IN|149995|4894|154889
Posey County|IN|25185|233|25418
Pulaski County|IN|13025|88|13113
Putnam County|IN|35449|1505|36954
Randolph County|IN|25158|117|25275
Ripley County|IN|28132|69|28201
Rush County|IN|16945|132|17077
St. Joseph County|IN|209972|33958|243930
Scott County|IN|23667|57|23724
Shelby County|IN|42402|455|42857
Spencer County|IN|20295|96|20391
Starke County|IN|22683|66|22749
Steuben County|IN|33098|179|33277
Sullivan County|IN|20132|961|21093
Switzerland County|IN|10381|32|10413
Tippecanoe County|IN|145190|6913|152103
